No,StudentID,Firstname,Lastname,Gender,DateofBirth,SocialID
1,23127201,Anh,Nguyen,M,12/10/1997,135790246
2,23127202,Bao,Tran,M,05/05/1990,246801357
3,23127203,Chi,Pham,F,18/08/1989,987654321
4,23127204,Dung,Le,F,24/03/1996,654321987
5,23127205,Em,Vo,M,30/11/1993,789012345
6,23127206,Ha,Nguyen,F,07/02/1998,321987654
7,23127207,Hieu,Tran,M,15/09/1991,678901234
8,23127208,Anh,Phan,F,28/07/1994,890123456
9,23127209,Long,Do,M,03/04/1987,456789012
10,23127210,Minh,Nguyen,M,20/06/2000,901234567
11,23127211,Ngoc,Tran,F,11/12/1992,567890123
12,23127212,Quynh,Le,F,22/10/1995,234567890
13,23127213,Son,Pham,M,19/05/1999,678901234
14,23127214,Thanh,Nguyen,F,08/09/1986,345678901
15,23127215,Tuan,Vo,M,16/03/1994,890123456
16,23127216,Van Anh,Tran,F,23/08/1997,456789012
17,23127217,Xuan,Nguyen,M,01/01/1990,901234567
18,23127218,Yen,Le,F,29/04/1991,567890123
19,23127219,Duc,Tran,M,14/07/1998,234567890
20,23127220,Hong,Pham,F,25/02/1993,789012345
21,23127221,Quang,Nguyen,M,06/11/1996,123456789
22,23127222,Huong,Vo,F,09/05/1988,678901234
23,23127223,Nam,Le,M,17/10/1995,345678901
24,23127224,Son,Nguyen,M,02/04/1992,012345678
25,23127225,Thanh,Tran,F,30/06/1999,901234567
26,23127226,Trung,Pham,M,27/08/1994,456789012
27,23127227,Anh,Nguyen,F,04/03/1991,789012345
28,23127228,Binh,Tran,M,12/09/1985,234567890
29,23127229,Chau,Le,F,10/12/1998,890123456
30,23127230,Dat,Nguyen,M,22/07/1997,456789012
31,23127231,Giang,Tran,F,28/04/1992,012345678
32,23127232,Hai,Pham,M,19/01/1990,678901234
33,23127233,Hien,Nguyen,F,11/05/1995,123456789
34,23127234,Hoai,Le,F,07/08/1996,890123456
35,23127235,Hung,Tran,M,13/02/1993,456789012
36,23127236,Khanh,Nguyen,F,20/10/1989,012345678
37,23127237,Linh,Tran,F,16/06/1994,678901234
38,23127238,Minh,Le,M,24/03/1991,234567890
39,23127239,Nga,Nguyen,F,03/09/1998,789012345
40,23127240,Phong,Tran,M,08/11/1992,345678901
41,23127241,Phuong,Nguyen,F,25/04/1997,901234567
42,23127242,Quan,Le,M,09/12/1990,567890123
43,23127243,Son,Tran,M,07/07/1988,012345678
44,23127244,Thanh,Nguyen,F,14/05/1993,678901234
45,23127245,Thu,Le,F,18/09/1996,345678901
46,23127246,Trung,Nguyen,M,26/01/1999,901234567
47,23127247,Tuan Anh,Tran,M,05/08/1994,456789012
48,23127248,Tuyen,Nguyen,F,23/03/1991,012345678
49,23127249,Van,Tran,F,10/10/1998,678901234
50,23127250,Xuan,Nguyen,F,28/06/1995,345678901
