No,StudentID,Firstname,Lastname,Gender,DateofBirth,SocialID
01,23127001,Khoa,Dang,M,29/07/2005,123456
02,23127002,Hoa,Nguyen,F,30/08/2005,123457
03,23127003,Tuan,Tran,M,31/09/2005,123458
04,23127004,Anh,Le,M,01/10/2005,123459
05,23127005,Binh,Pham,M,02/11/2005,123460
06,23127006,Thao,Nguyen,F,03/12/2005,123461
07,23127007,Trang,Tran,F,04/01/2005,123462
08,23127008,Tung,Le,M,05/02/2005,123463
09,23127009,Thanh,Pham,M,06/03/2005,123464
10,23127010,Thuy,Nguyen,F,07/04/2005,123465
11,23127011,Thao,Tran,F,08/05/2005,123466
12,23127012,Thanh,Le,M,09/06/2005,123467
13,23127013,Thuy,Pham,F,10/07/2005,123468
14,23127014,Thanh,Nguyen,M,11/08/2005,123469
15,23127015,Thao,Tran,F,12/09/2005,123470
16,23127016,Thanh,Le,M,13/10/2005,123471
17,23127017,Thuy,Pham,F,14/11/2005,123472
18,23127018,Thanh,Nguyen,M,15/12/2005,123473
19,23127019,Thao,Tran,F,16/01/2005,123474
20,23127020,Thanh,Le,M,17/02/2005,123475
21,23127021,Thuy,Pham,F,18/03/2005,123476
22,23127022,Thanh,Nguyen,M,19/04/2005,123477
23,23127023,Thao,Tran,F,20/05/2005,123478
24,23127024,Thanh,Le,M,21/06/2005,123479
25,23127025,Thuy,Pham,F,22/07/2005,123480
26,23127026,Thanh,Nguyen,M,23/08/2005,123481
27,23127027,Thao,Tran,F,24/09/2005,123482
28,23127028,Thanh,Le,M,25/10/2005,123483
29,23127029,Thuy,Pham,F,26/11/2005,123484
30,23127030,Thanh,Nguyen,M,27/12/2005,123485
31,23127031,Thao,Tran,F,28/01/2005,123486
32,23127032,Thanh,Le,M,29/02/2005,123487
33,23127033,Thuy,Pham,F,30/03/2005,123488
34,23127034,Thanh,Nguyen,M,31/04/2005,123489
35,23127035,Thao,Tran,F,01/05/2005,123490
36,23127036,Thanh,Le,M,02/06/2005,123491
37,23127037,Thuy,Pham,F,03/07/2005,123492
38,23127038,Thanh,Nguyen,M,04/08/2005,123493
39,23127039,Thao,Tran,F,05/09/2005,123494
40,23127040,Thanh,Le,M,06/10/2005,123495
