No,StudentID,Firstname,Lastname,Gender,DateofBirth,SocialID
01,23127100,Thu,Nguyen,F,01/01/2005,987654
02,23127101,Thao,Nguyen,F,01/01/2005,987654
03,23127102,Thanh,Tran,M,01/01/2005,987654
04,23127103,Thien,Le,M,01/01/2005,987654
05,23127104,Thuan,Nguyen,M,01/01/2005,987654
06,23127105,Thuy,Tran,F,01/01/2005,987654
07,23127106,Tien,Le,F,01/01/2005,987654
08,23127107,Tuan,Nguyen,M,01/01/2005,987654
09,23127108,Tuong,Tran,M,01/01/2005,987654
10,23127109,Uyen,Le,F,01/01/2005,987654
11,23127110,Van,Nguyen,M,01/01/2005,987654
12,23127111,Vinh,Tran,M,01/01/2005,987654
13,23127112,Xuan,Le,F,01/01/2005,987654
14,23127113,Yen,Nguyen,F,01/01/2005,987654
15,23127114,Yen,Tran,F,01/01/2005,987654
16,23127115,Yen,Le,F,01/01/2005,987654
17,23127116,Yen,Nguyen,F,01/01/2005,987654
18,23127117,Yen,Tran,F,01/01/2005,987654
19,23127118,Yen,Le,F,01/01/2005,987654
20,23127119,Yen,Nguyen,F,01/01/2005,987654
21,23127120,Yen,Tran,F,01/01/2005,987654
22,23127121,Yen,Le,F,01/01/2005,987654
23,23127122,Yen,Nguyen,F,01/01/2005,987654
24,23127123,Yen,Tran,F,01/01/2005,987654
25,23127124,Yen,Le,F,01/01/2005,987654
26,23127125,Yen,Nguyen,F,01/01/2005,987654
